2,512,5696
4,1024,10965
8,2048,16433
16,4096,24254
32,8192,34526
64,16384,47441
128,32768,63380
256,65536,83144
512,131072,108428
1024,262144,142849
2048,524288,194361
4096,1048576,255061
8192,2097152,328559
16384,4194304,413024
32768,8388608,517267
65536,16777216,623724
131072,33554432,759635
262144,67108864,920086
524288,134217728,1101272
1048576,268435456,1306551
